start_time,end_time,set_urrent,set_rpm,start_time_stat,end_time_stat
2025-12-02 08:45:59.606947+00:00,,,,,
,,-1.0,15000,2025-12-02 09:16:41.828632+00:00,2025-12-02 09:26:41.828722+00:00
,,-1.0,10000,2025-12-02 09:40:01.829880+00:00,2025-12-02 09:50:01.829984+00:00
,,-2.0,15000,2025-12-02 10:03:22.306941+00:00,2025-12-02 10:13:22.307031+00:00
,,-2.0,10000,2025-12-02 10:26:42.308044+00:00,2025-12-02 10:36:42.308129+00:00
,2025-12-02 10:36:44.961475+00:00,,,,
2025-12-02 10:58:22.154776+00:00,,,,,
,,-1.0,15000,2025-12-02 11:20:23.668423+00:00,2025-12-02 11:30:23.668517+00:00
,,-1.0,10000,2025-12-02 11:43:43.670222+00:00,2025-12-02 11:53:43.670433+00:00
,,-2.0,15000,2025-12-02 12:07:04.157588+00:00,2025-12-02 12:17:04.157674+00:00
,,-2.0,10000,2025-12-02 12:30:24.158689+00:00,2025-12-02 12:40:24.158927+00:00
,2025-12-02 12:40:26.174407+00:00,,,,
2025-12-02 12:57:36.528541+00:00,,,,,
,,1.0,15000,2025-12-02 13:24:19.857462+00:00,2025-12-02 13:34:19.857551+00:00
,,1.0,10000,2025-12-02 13:47:39.859055+00:00,2025-12-02 13:57:39.859152+00:00
,,2.0,15000,2025-12-02 14:18:55.173781+00:00,2025-12-02 14:28:55.173875+00:00
,,2.0,10000,2025-12-02 14:42:15.174923+00:00,2025-12-02 14:52:15.175118+00:00
,2025-12-02 14:52:25.558747+00:00,,,,
2025-12-02 14:59:32.796792+00:00,,,,,
,,1.0,15000,2025-12-02 15:41:36.747960+00:00,2025-12-02 15:51:36.748070+00:00
,,1.0,10000,2025-12-02 16:04:56.749749+00:00,2025-12-02 16:14:56.749839+00:00
,,2.0,15000,2025-12-02 16:35:30.355817+00:00,2025-12-02 16:45:30.357898+00:00
,,2.0,10000,2025-12-02 16:58:50.362282+00:00,2025-12-02 17:08:50.362376+00:00
,2025-12-02 17:08:51.052535+00:00,,,,
2025-12-03 10:39:26.028246+00:00,,,,,
,,1.0,15000,2025-12-03 11:04:13.447082+00:00,2025-12-03 11:14:13.447170+00:00
,,1.0,10000,2025-12-03 11:27:33.448539+00:00,2025-12-03 11:37:33.448651+00:00
,,2.0,15000,2025-12-03 12:02:50.157671+00:00,2025-12-03 12:12:50.157768+00:00
,,2.0,10000,2025-12-03 12:26:10.158964+00:00,2025-12-03 12:36:10.159052+00:00
,2025-12-03 12:36:10.687843+00:00,,,,
2025-12-03 14:46:29.003210+00:00,,,,,
,,1.0,15000,2025-12-03 15:10:26.607051+00:00,2025-12-03 15:20:26.607147+00:00
,,1.0,10000,2025-12-03 15:33:46.608313+00:00,2025-12-03 15:43:46.608426+00:00
,,2.0,15000,2025-12-03 16:04:55.584938+00:00,2025-12-03 16:14:55.585031+00:00
,,2.0,10000,2025-12-03 16:28:15.588518+00:00,2025-12-03 16:38:15.588618+00:00
,2025-12-03 16:38:18.067032+00:00,,,,
2025-12-04 11:55:08.390728+00:00,,,,,
,,1.0,15000,2025-12-04 12:19:29.834143+00:00,2025-12-04 12:29:29.834240+00:00
,,1.0,10000,2025-12-04 12:42:49.835352+00:00,2025-12-04 12:52:49.835471+00:00
,,2.0,15000,2025-12-04 13:13:46.111264+00:00,2025-12-04 13:23:46.111380+00:00
,,2.0,10000,2025-12-04 13:37:06.112500+00:00,2025-12-04 13:47:06.112610+00:00
,2025-12-04 13:47:16.620432+00:00,,,,
2025-12-04 14:59:42.253845+00:00,,,,,
,2025-12-04 15:02:06.106729+00:00,,,,
2025-12-04 15:02:59.701061+00:00,,,,,
,,-1.0,15000,2025-12-04 15:48:01.756430+00:00,2025-12-04 15:58:01.756527+00:00
,,-1.0,10000,2025-12-04 16:12:38.320888+00:00,2025-12-04 16:22:38.320992+00:00
,,-2.0,15000,2025-12-04 16:40:32.689016+00:00,2025-12-04 16:50:32.689125+00:00
,,-2.0,10000,2025-12-04 17:07:35.747880+00:00,2025-12-04 17:17:35.747979+00:00
,2025-12-04 17:17:37.962656+00:00,,,,
2025-12-05 09:21:23.939174+00:00,,,,,
,,-1.0,15000,2025-12-05 10:11:49.152870+00:00,2025-12-05 10:21:49.152964+00:00
,,-1.0,10000,2025-12-05 10:36:42.061721+00:00,2025-12-05 10:46:42.061822+00:00
,2025-12-06 10:57:59.959637+00:00,,,,
2025-12-06 10:58:06.438501+00:00,,,,,
,,-1.0,15000,2025-12-06 12:00:23.298965+00:00,2025-12-06 12:10:23.299069+00:00
,,-1.0,10000,2025-12-06 12:24:40.671014+00:00,2025-12-06 12:34:40.671119+00:00
,,-2.0,15000,2025-12-06 12:52:45.753798+00:00,2025-12-06 13:02:45.753892+00:00
,,-2.0,10000,2025-12-06 13:19:13.279724+00:00,2025-12-06 13:29:13.279837+00:00
,2025-12-06 13:29:16.293684+00:00,,,,
2025-12-08 09:06:16.360577+00:00,,,,,
2025-12-08 09:06:40.373482+00:00,,,,,
,2025-12-08 09:42:47.844062+00:00,,,,
2025-12-08 09:42:57.106262+00:00,,,,,
,,-1.0,15000,2025-12-08 10:44:57.314898+00:00,2025-12-08 10:54:57.315003+00:00
,,-1.0,10000,2025-12-08 11:09:59.615457+00:00,2025-12-08 11:19:59.615690+00:00
,,-2.0,15000,2025-12-08 11:38:19.653760+00:00,2025-12-08 11:48:19.653861+00:00
,,-2.0,10000,2025-12-08 12:05:15.213105+00:00,2025-12-08 12:15:15.213199+00:00
,2025-12-08 12:15:18.602784+00:00,,,,
2025-12-08 12:24:19.273476+00:00,,,,,
,,-1.0,15000,2025-12-08 13:17:14.240469+00:00,2025-12-08 13:27:14.240577+00:00
