start_time,end_time,set_urrent,set_rpm,start_time_stat,end_time_stat
2025-12-01 09:52:41.209000+00:00,,,,,
,,1.0,15000,2025-12-01 10:29:35.892712+00:00,2025-12-01 10:39:35.892809+00:00
,,1.0,10000,2025-12-01 10:42:55.894413+00:00,2025-12-01 10:52:55.894504+00:00
,,2.0,15000,2025-12-01 11:10:32.757373+00:00,2025-12-01 11:20:32.757496+00:00
,,2.0,10000,2025-12-01 11:23:52.758634+00:00,2025-12-01 11:33:52.758894+00:00
,2025-12-01 11:34:03.167223+00:00,,,,
2025-12-01 12:28:22.096756+00:00,,,,,
,,1.0,15000,2025-12-01 12:49:49.971702+00:00,2025-12-01 12:59:49.971808+00:00
,,1.0,10000,2025-12-01 13:03:09.973025+00:00,2025-12-01 13:13:09.973121+00:00
,,2.0,15000,2025-12-01 13:30:47.376633+00:00,2025-12-01 13:40:47.376724+00:00
,,2.0,10000,2025-12-01 13:44:07.377951+00:00,2025-12-01 13:54:07.378036+00:00
,2025-12-01 13:54:08.434175+00:00,,,,
2025-12-01 15:07:20.789434+00:00,,,,,
,,1.0,15000,2025-12-01 15:26:51.207778+00:00,2025-12-01 15:36:51.207874+00:00
,,1.0,10000,2025-12-01 15:40:11.209212+00:00,2025-12-01 15:50:11.209309+00:00
,,2.0,15000,2025-12-01 16:07:58.169155+00:00,2025-12-01 16:17:58.169259+00:00
,,2.0,10000,2025-12-01 16:21:18.170710+00:00,2025-12-01 16:31:18.170796+00:00
,2025-12-01 16:31:20.430635+00:00,,,,
2025-12-02 07:41:23.319637+00:00,,,,,
,,-1.0,15000,2025-12-02 07:58:03.243010+00:00,2025-12-02 08:08:03.243954+00:00
,,-1.0,10000,2025-12-02 08:11:23.251886+00:00,2025-12-02 08:21:23.251992+00:00
,,-2.0,15000,2025-12-02 08:29:41.431005+00:00,2025-12-02 08:39:41.431132+00:00
,2025-12-02 08:42:40.140411+00:00,,,,
