start_time,end_time,set_current,set_rpm,start_time_stat,end_time_stat
2025-11-27 21:30:08.585949+00:00,,,,,
,,-1.0,15000,2025-11-27 21:33:42.123924+00:00,2025-11-27 21:52:25.786967+00:00
,,-1.0,10000,2025-11-27 21:52:25.789408+00:00,2025-11-27 22:02:26.476994+00:00
,,-2.0,15000,2025-11-27 22:02:26.973601+00:00,2025-11-27 22:12:37.335458+00:00
,,-2.0,10000,2025-11-27 22:12:37.339596+00:00,2025-11-27 22:22:38.880712+00:00
,2025-11-27 22:22:49.329009+00:00,,,,
2025-11-27 22:31:56.145704+00:00,,,,,
,,-1.0,15000,2025-11-27 22:36:06.337178+00:00,2025-11-27 22:46:06.337297+00:00
,,-1.0,10000,2025-11-27 22:46:09.772596+00:00,2025-11-27 22:56:09.772709+00:00
,,-2.0,15000,2025-11-27 22:56:13.145950+00:00,2025-11-27 23:06:13.146045+00:00
,,-2.0,10000,2025-11-27 23:06:17.203732+00:00,2025-11-27 23:16:17.203836+00:00
,2025-11-27 23:16:20.291225+00:00,,,,
2025-11-28 08:17:17.421472+00:00,,,,,
,2025-11-28 08:18:50.101898+00:00,,,,
2025-11-28 08:18:59.864462+00:00,,,,,
,2025-11-28 08:21:34.927265+00:00,,,,
2025-11-28 08:21:53.114554+00:00,,,,,
,,-1.0,15000,2025-11-28 08:25:31.729059+00:00,2025-11-28 08:35:31.729159+00:00
,,-1.0,10000,2025-11-28 08:35:35.185919+00:00,2025-11-28 08:45:35.186015+00:00
,,-2.0,15000,2025-11-28 08:45:38.078472+00:00,2025-11-28 08:55:38.078577+00:00
,,-2.0,10000,2025-11-28 08:55:40.932114+00:00,2025-11-28 09:05:40.932214+00:00
,2025-11-28 09:05:43.204910+00:00,,,,
2025-11-28 19:15:32.537776+00:00,,,,,
,2025-11-28 19:17:23.858109+00:00,,,,
2025-11-28 19:17:33.702419+00:00,,,,,
,2025-11-28 19:19:46.117570+00:00,,,,
2025-11-28 19:20:24.723004+00:00,,,,,
,,-1.0,15000,2025-11-28 19:24:03.337793+00:00,2025-11-28 19:34:03.337888+00:00
,,-1.0,10000,2025-11-28 19:34:07.593962+00:00,2025-11-28 19:44:07.594063+00:00
,,-2.0,15000,2025-11-28 19:44:10.204989+00:00,2025-11-28 19:54:10.205095+00:00
,,-2.0,10000,2025-11-28 19:54:12.973340+00:00,2025-11-28 20:04:12.973450+00:00
,2025-11-28 20:04:15.447441+00:00,,,,
2025-11-30 13:22:25.834770+00:00,,,,,
,2025-11-30 13:22:33.846251+00:00,,,,
2025-11-30 13:22:58.469356+00:00,,,,,
,,1.0,15000,2025-11-30 13:26:37.357549+00:00,2025-11-30 13:36:37.357657+00:00
,,1.0,10000,2025-11-30 13:37:41.963975+00:00,2025-11-30 13:47:41.964068+00:00
,,2.0,15000,2025-11-30 13:47:44.596692+00:00,2025-11-30 13:57:44.597908+00:00
,,2.0,10000,2025-11-30 14:02:08.078881+00:00,2025-11-30 14:12:08.078980+00:00
,2025-11-30 14:12:10.663992+00:00,,,,


17:16
